user_id,course_id,course_join_time,learn_process,price
用户3,课程106,2020-04-21 10:11:50,width: 0%;,0.0
用户3,课程136,2020-03-05 11:44:36,width: 1%;,0.0
用户3,课程205,2018-09-10 18:17:01,width: 63%;,0.0
用户4,课程26,2020-03-31 10:52:51,width: 0%;,319.0
用户4,课程34,2020-03-31 10:52:49,width: 0%;,299.0
用户4,课程22,2020-03-31 10:52:47,width: 0%;,199.0
用户4,课程17,2020-03-31 10:52:45,width: 0%;,299.0
用户4,课程31,2020-03-31 10:52:43,width: 0%;,109.0
用户4,课程4,2020-03-13 11:15:30,width: 2%;,369.0
用户4,课程51,2020-03-05 16:50:54,width: 0%;,
用户4,课程56,2020-03-03 10:49:29,width: 0%;,299.0
用户4,课程132,2020-03-03 10:49:29,width: 0%;,199.0
用户4,课程171,2020-03-03 10:49:29,width: 0%;,299.0
用户4,课程48,2020-03-03 10:49:29,width: 0%;,299.0
用户4,课程87,2019-10-09 10:00:27,width: 0%;,49.0
用户4,课程85,2019-10-09 10:00:27,width: 0%;,109.0
用户4,课程86,2019-10-09 10:00:27,width: 0%;,79.0
用户4,课程98,2019-10-09 10:00:27,width: 0%;,99.0
用户4,课程7,2019-10-09 10:00:27,width: 0%;,159.0
用户4,课程6,2019-10-09 10:00:27,width: 0%;,179.0
用户4,课程153,2019-10-09 10:00:27,width: 0%;,79.0
用户4,课程130,2019-11-18 13:48:51,width: 0%;,199.0
用户4,课程134,2019-11-18 13:47:08,width: 0%;,199.0
用户4,课程135,2019-10-21 15:58:14,width: 0%;,199.0
用户4,课程19,2019-07-29 14:28:50,width: 0%;,499.0
用户4,课程154,2019-06-12 17:54:28,width: 0%;,219.0
用户4,课程223,2019-06-12 17:54:11,width: 0%;,79.0
用户4,课程203,2019-06-12 17:48:45,width: 0%;,179.0
用户4,课程21,2019-06-12 17:47:01,width: 0%;,169.0
用户4,课程220,2019-06-12 17:46:05,width: 0%;,79.0
用户4,课程228,2019-06-12 14:24:02,width: 0%;,229.0
用户4,课程224,2019-06-12 14:22:36,width: 0%;,79.0
用户4,课程36,2019-06-12 14:18:16,width: 0%;,499.0
用户4,课程47,2019-06-12 14:17:34,width: 0%;,199.0
用户4,课程143,2019-06-12 14:17:05,width: 0%;,399.0
用户4,课程99,2019-04-25 14:08:11,width: 0%;,59.0
用户4,课程96,2019-04-25 14:09:15,width: 0%;,
用户4,课程97,2019-04-25 14:09:36,width: 0%;,29.0
用户4,课程159,2019-04-25 14:02:12,width: 0%;,0.0
用户4,课程38,2019-04-25 14:19:46,width: 0%;,0.0
用户4,课程161,2019-04-25 14:02:47,width: 0%;,0.0
用户4,课程155,2019-04-25 14:13:07,width: 0%;,99.0
用户4,课程152,2019-04-25 14:13:24,width: 0%;,99.0
用户4,课程144,2019-04-02 16:12:59,width: 0%;,129.0
用户4,课程40,2019-04-02 16:12:58,width: 0%;,499.0
用户4,课程162,2019-04-02 16:12:58,width: 0%;,129.0
用户4,课程148,2019-04-02 16:12:58,width: 0%;,129.0
用户4,课程163,2019-04-02 16:12:58,width: 0%;,129.0
用户4,课程37,2019-04-02 16:05:04,width: 0%;,0.0
用户4,课程95,2019-04-02 16:05:04,width: 0%;,499.0
用户4,课程151,2019-04-02 16:01:13,width: 0%;,79.0
用户4,课程156,2019-04-25 13:58:35,width: 0%;,129.0
用户4,课程231,2019-01-05 12:56:05,width: 0%;,999.0
用户4,课程227,2019-01-05 12:55:58,width: 0%;,999.0
用户4,课程225,2019-01-05 12:55:48,width: 0%;,0.0
用户4,课程237,2019-01-05 12:55:48,width: 0%;,0.0
用户4,课程55,2019-01-05 12:55:37,width: 0%;,0.0
用户4,课程57,2019-01-05 12:55:37,width: 0%;,0.0
用户4,课程150,2019-01-05 12:55:37,width: 0%;,199.0
用户4,课程169,2019-01-05 12:55:37,width: 0%;,0.0
用户4,课程236,2019-01-05 12:55:26,width: 0%;,79.0
用户4,课程226,2019-01-05 12:55:26,width: 0%;,79.0
用户4,课程8,2019-01-05 12:55:26,width: 0%;,0.0
用户4,课程221,2019-01-05 12:55:25,width: 0%;,0.0
用户4,课程94,2019-01-05 12:55:13,width: 0%;,499.0
用户4,课程138,2019-01-05 12:55:13,width: 0%;,0.0
用户4,课程238,2019-01-05 12:55:13,width: 0%;,0.0
用户4,课程229,2019-01-05 12:55:13,width: 0%;,0.0
用户4,课程239,2019-01-17 17:01:41,width: 0%;,0.0
用户4,课程230,2019-01-17 17:01:41,width: 0%;,0.0
用户4,课程76,2018-12-29 09:19:22,width: 0%;,0.0
用户4,课程58,2018-12-14 11:02:59,width: 0%;,0.0
用户4,课程45,2018-12-14 11:02:59,width: 0%;,129.0
用户4,课程44,2018-12-14 11:02:59,width: 0%;,159.0
用户4,课程42,2018-12-14 11:02:59,width: 0%;,99.0
用户4,课程147,2018-12-14 11:02:59,width: 0%;,0.0
用户4,课程63,2018-12-14 11:02:59,width: 0%;,0.0
用户4,课程145,2018-12-14 11:02:59,width: 0%;,0.0
用户4,课程46,2018-12-14 11:02:59,width: 0%;,299.0
用户4,课程146,2018-12-14 11:02:59,width: 0%;,0.0
用户4,课程16,2018-12-14 11:02:59,width: 0%;,499.0
用户4,课程32,2018-12-14 11:02:59,width: 0%;,499.0
用户4,课程157,2018-12-14 11:02:59,width: 0%;,99.0
用户4,课程158,2018-12-14 11:02:59,width: 0%;,129.0
用户4,课程149,2018-12-14 11:02:59,width: 0%;,0.0
用户4,课程160,2018-12-14 11:02:59,width: 0%;,79.0
用户4,课程12,2018-12-14 11:02:59,width: 0%;,0.0
用户4,课程174,2018-12-29 17:24:52,width: 0%;,0.0
用户4,课程189,2018-12-24 15:21:21,width: 0%;,0.0
用户4,课程188,2018-12-13 17:59:32,width: 0%;,0.0
用户4,课程210,2018-10-29 16:15:48,width: 0%;,0.0
用户4,课程20,2018-12-29 17:30:08,width: 6%;,0.0
用户4,课程168,2018-12-11 15:30:02,width: 20%;,0.0
用户4,课程205,2018-09-10 14:17:12,width: 0%;,0.0
用户5,课程31,2020-06-05 16:02:40,width: 0%;,109.0
用户5,课程89,2020-06-10 18:34:15,width: 0%;,700.0
用户5,课程90,2020-06-10 18:26:59,width: 0%;,0.0
用户5,课程94,2020-03-12 09:54:44,width: 0%;,499.0
用户5,课程240,2019-09-27 14:48:23,width: 0%;,0.0
用户5,课程26,2019-12-06 11:32:45,width: 0%;,319.0
用户5,课程141,2019-12-06 11:32:46,width: 0%;,199.0
用户5,课程134,2019-12-06 11:32:46,width: 0%;,199.0
用户5,课程130,2019-12-06 11:32:46,width: 0%;,199.0
用户5,课程56,2019-12-06 11:32:46,width: 0%;,299.0
用户5,课程201,2019-12-06 11:32:46,width: 0%;,199.0
用户5,课程202,2019-12-06 11:32:46,width: 0%;,199.0
用户5,课程132,2019-12-06 11:32:46,width: 0%;,199.0
用户5,课程133,2019-12-06 11:32:46,width: 0%;,199.0
用户5,课程29,2019-12-06 11:32:46,width: 0%;,199.0
用户5,课程48,2019-12-06 11:32:45,width: 0%;,299.0
用户5,课程171,2019-12-06 11:32:45,width: 0%;,299.0
用户5,课程135,2019-12-06 11:32:46,width: 0%;,199.0
用户5,课程22,2019-12-06 11:32:45,width: 0%;,199.0
用户5,课程34,2019-12-06 11:32:45,width: 3%;,299.0
用户5,课程17,2019-12-06 11:32:45,width: 13%;,299.0
用户5,课程21,2019-06-12 14:41:28,width: 0%;,169.0
用户5,课程228,2019-06-12 14:24:02,width: 0%;,229.0
用户5,课程220,2019-06-12 14:23:32,width: 0%;,79.0
用户5,课程224,2019-06-12 14:22:36,width: 0%;,79.0
用户5,课程203,2019-06-12 14:18:27,width: 0%;,179.0
用户5,课程36,2019-06-12 14:18:16,width: 0%;,499.0
用户5,课程47,2019-06-12 14:17:34,width: 0%;,199.0
用户5,课程143,2019-06-12 14:17:05,width: 0%;,399.0
用户5,课程98,2019-06-12 14:15:36,width: 0%;,99.0
用户5,课程7,2019-05-27 14:54:47,width: 0%;,159.0
用户5,课程42,2019-05-27 14:54:47,width: 0%;,99.0
用户5,课程146,2019-05-27 14:54:47,width: 0%;,0.0
用户5,课程62,2019-05-27 14:54:47,width: 0%;,0.0
用户5,课程63,2019-05-27 14:54:47,width: 0%;,0.0
用户5,课程145,2019-05-27 14:54:47,width: 0%;,0.0
