user_id,login_time,login_place
用户3,2018-09-06 09:32:47,中国广东广州
用户3,2018-09-07 09:28:28,中国广东广州
用户3,2018-09-07 09:57:44,中国广东广州
用户3,2018-09-07 10:55:07,中国广东广州
用户3,2018-09-07 12:28:42,中国广东广州
用户3,2018-09-10 09:18:17,中国广东广州
用户3,2018-09-10 09:53:39,中国广东广州
用户3,2018-09-10 11:28:28,中国广东广州
用户3,2018-09-10 14:04:32,中国北京
用户3,2018-09-10 14:36:23,中国广东广州
用户3,2018-09-10 17:38:36,中国广东
用户3,2018-09-10 18:17:01,中国广东广州
用户3,2018-09-11 09:40:34,中国广东广州
用户3,2018-09-11 14:38:31,中国广东广州
用户3,2018-09-11 16:32:24,中国广东广州
用户3,2018-09-11 17:00:37,中国广东广州
用户3,2018-09-11 17:33:38,中国广东广州
用户3,2018-09-12 10:39:03,中国广东广州
用户3,2018-09-13 10:59:01,中国广东广州
用户3,2018-09-14 10:13:58,中国广东广州
用户3,2018-09-14 15:11:25,中国广东广州
用户3,2018-09-14 15:51:50,中国广东广州
用户3,2018-09-18 09:43:41,中国广东广州
用户3,2018-09-18 10:53:47,中国广东广州
用户3,2018-09-18 11:36:26,中国广东广州
用户3,2018-09-18 13:44:53,中国广东广州
用户3,2018-09-18 14:29:07,中国广东广州
用户3,2018-09-18 15:07:46,中国广东广州
用户3,2018-09-18 15:47:03,中国广东广州
用户3,2018-09-18 17:19:21,中国广东广州
用户3,2018-09-18 19:00:13,中国广东广州
用户3,2018-09-18 19:39:59,中国广东广州
用户3,2018-09-19 10:28:21,中国广东广州
用户3,2018-09-20 15:08:49,中国广东广州
用户3,2018-09-20 17:39:11,中国广东广州
用户3,2018-09-21 10:46:30,中国广东广州
用户3,2018-09-21 13:58:15,中国广东广州
用户3,2018-09-21 18:09:33,中国广东广州
用户3,2018-09-23 00:56:32,中国广东广州
用户3,2018-09-25 09:48:16,中国广东广州
用户3,2018-09-25 13:44:52,中国广东广州
用户3,2018-09-25 14:10:24,中国广东广州
用户3,2018-09-25 15:29:43,中国广东广州
用户3,2018-09-25 16:50:47,中国广东广州
用户3,2018-09-25 18:02:38,中国广东广州
用户3,2018-09-26 08:48:53,中国广东广州
用户3,2018-09-26 09:30:06,中国广东广州
用户3,2018-09-26 11:46:58,中国广东广州
用户3,2018-09-26 13:51:14,中国广东广州
用户3,2018-09-26 17:42:23,中国广东广州
用户3,2018-09-27 09:18:22,中国广东广州
用户3,2018-09-27 11:11:35,中国广东广州
用户3,2018-09-27 14:45:10,中国广东广州
用户3,2018-09-27 15:14:35,中国广东广州
用户3,2018-09-28 08:49:37,中国广东广州
用户3,2018-09-28 09:15:27,中国广东广州
用户3,2018-09-28 10:34:17,中国广东广州
用户3,2018-09-28 14:09:26,中国广东广州
用户3,2018-09-28 14:29:11,中国广东广州
用户3,2018-09-28 16:23:00,中国广东广州
用户3,2018-09-28 17:58:19,中国广东广州
用户3,2018-09-29 09:06:05,中国广东广州
用户3,2018-09-29 10:02:57,中国广东广州
用户3,2018-09-29 13:45:13,中国广东广州
用户3,2018-09-29 15:31:11,中国广东广州
用户3,2018-09-30 09:45:13,中国广东广州
用户3,2018-09-30 10:18:35,中国广东广州
用户3,2018-09-30 11:32:44,中国广东广州
用户3,2018-09-30 11:49:30,中国广东广州
用户3,2018-09-30 14:58:51,中国广东广州
用户3,2018-09-30 15:26:28,中国广东广州
用户3,2018-09-30 17:46:04,中国广东广州
用户3,2018-10-08 09:10:16,中国广东广州
用户3,2018-10-08 09:55:27,中国广东广州
用户3,2018-10-08 10:58:39,中国广东广州
用户3,2018-10-08 13:51:24,中国广东广州
用户3,2018-10-10 10:52:51,中国广东广州
用户3,2018-10-10 15:12:44,中国广东广州
用户3,2018-10-11 09:01:10,中国广东广州
用户3,2018-10-11 10:04:52,中国广东广州
用户3,2018-10-11 11:08:39,中国广东广州
用户3,2018-10-11 14:34:07,中国广东广州
用户3,2018-10-11 17:53:34,中国广东广州
用户3,2018-10-12 10:40:17,中国广东广州
用户3,2018-10-12 14:46:13,中国广东广州
用户3,2018-10-12 15:35:14,中国广东广州
用户3,2018-10-12 16:01:41,中国广东广州
用户3,2018-10-12 17:10:36,中国广东广州
用户3,2018-10-13 09:19:45,中国广东广州
用户3,2018-10-13 16:02:59,中国广东广州
用户3,2018-10-15 11:06:53,中国广东广州
用户3,2018-10-16 10:50:05,中国广东广州
用户3,2018-10-16 16:25:13,中国广东广州
用户3,2018-10-16 18:01:42,中国广东广州
用户3,2018-10-17 09:37:07,中国广东广州
用户3,2018-10-17 14:05:06,中国广东广州
用户3,2018-10-17 14:49:53,中国广东广州
用户3,2018-10-18 09:17:20,中国广东广州
用户3,2018-10-18 10:06:55,中国广东广州
用户3,2018-10-18 13:41:45,中国广东广州
用户3,2018-10-18 15:05:28,中国广东广州
用户3,2018-10-18 15:33:10,中国广东广州
用户3,2018-10-19 09:29:19,中国广东广州
用户3,2018-10-19 10:46:47,中国广东广州
用户3,2018-10-20 17:10:33,中国广东广州
用户3,2018-10-22 15:10:26,中国广东广州
用户3,2018-10-22 15:30:22,中国广东广州
用户3,2018-10-23 09:27:51,中国广东广州
用户3,2018-10-23 10:54:45,中国广东广州
用户3,2018-10-24 11:09:16,中国广东广州
用户3,2018-10-25 11:40:25,中国广东广州
用户3,2018-10-25 14:05:44,中国广东广州
用户3,2018-10-25 17:10:18,中国广东广州
用户3,2018-10-26 14:29:13,中国广东广州
用户3,2018-10-29 09:11:13,中国广东广州
用户3,2018-10-29 09:34:29,中国广东广州
用户3,2018-10-29 11:39:32,中国广东广州
用户3,2018-10-29 15:18:28,中国广东广州
用户3,2018-10-29 16:22:17,中国广东广州
用户3,2018-10-29 20:33:31,中国广东广州
用户3,2018-10-30 09:35:02,中国广东广州
用户3,2018-10-31 09:14:17,中国广东广州
用户3,2018-10-31 14:59:17,中国广东广州
用户3,2018-10-31 17:34:02,中国广东广州
用户3,2018-11-01 09:37:11,中国广东广州
用户3,2018-11-01 11:11:31,中国广东广州
用户3,2018-11-01 13:53:17,中国广东广州
用户3,2018-11-01 14:42:19,中国广东广州
用户3,2018-11-01 17:54:31,中国广东广州
用户3,2018-11-02 09:09:04,中国广东广州
用户3,2018-11-02 09:28:34,中国广东广州
用户3,2018-11-02 10:23:13,中国广东广州
用户3,2018-11-02 11:22:38,中国广东广州
用户3,2018-11-02 14:42:29,中国广东广州
用户3,2018-11-02 16:57:05,中国广东广州
用户3,2018-11-04 18:02:06,中国广东广州
用户3,2018-11-04 23:04:24,中国广东广州
用户3,2018-11-05 09:32:14,中国广东广州
用户3,2018-11-06 09:28:35,中国广东广州
用户3,2018-11-06 15:31:26,中国广东广州
用户3,2018-11-07 09:52:22,中国广东广州
